,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,complex-seq.1,start.1,end.1,operator1.1,operator2.1,  .1,if.1,>.1,start.2,end.2,'.1,().1,      .1,cons.1,start.3,complex-seq.2,+.1,*.1,start.4,operator2.2,operator2.3,end.3,operator1.2,operator2.4,).1,).2,).3,question,code,choices
0,38,29,687426914002,1065326005,1,1,"(0.3256291151046753, 0.1964622288942337)","(0.25246211886405945, 0.16744782030582428)",1,1,3.0625,3.0443267822265625,"(-37.12740707397461, 34.86719512939453, 552.98828125)","(24.3602294921875, 37.826576232910156, 550.2027587890625)","(-61.86920928955078, 164.2711181640625, 49.14799118041992)","(-87.15025329589844, 169.57022094726562, 51.076725006103516)",POINT (0.2890456169843674 0.181955024600029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687426930670,1065342672,1,1,"(0.31755971908569336, 0.18260085582733154)","(0.25284114480018616, 0.1622396558523178)",1,1,3.10772705078125,3.052581787109375,"(-37.13302230834961, 34.887901306152344, 553.0211791992188)","(24.377809524536133, 37.84096908569336, 550.1259155273438)","(-64.65737915039062, 166.8026885986328, 50.0694694519043)","(-87.01927947998047, 170.52142333984375, 51.42292404174805)",POINT (0.2852004319429398 0.1724202558398247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687426947336,1065359338,1,1,"(0.32016539573669434, 0.16947661340236664)","(0.25703370571136475, 0.14227749407291412)",1,1,3.06524658203125,3.013519287109375,"(-37.15648651123047, 34.89031982421875, 553.0015869140625)","(24.37641143798828, 37.847267150878906, 550.092529296875)","(-63.757057189941406, 169.19969177246094, 50.94184112548828)","(-85.57064056396484, 174.16725158691406, 52.74989318847656)",POINT (0.2885995507240295 0.1558770537376404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687426964005,1065376007,1,1,"(0.32492128014564514, 0.15429972112178802)","(0.24992555379867554, 0.14256606996059418)",1,1,3.039535522460937,3.028564453125,"(-37.2010383605957, 34.900421142578125, 553.004150390625)","(24.361572265625, 37.874267578125, 550.1860961914062)","(-62.1137809753418, 171.97154235839844, 51.95076370239258)","(-88.02669525146484, 174.1145477294922, 52.73072052001953)",POINT (0.2874234169721603 0.1484328955411911),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687426980674,1065392675,1,1,"(0.3249950110912323, 0.16160641610622406)","(0.258330762386322, 0.13234923779964447)",1,1,3.0739898681640625,3.00018310546875,"(-37.24329376220703, 34.906455993652344, 552.990966796875)","(24.328197479248047, 37.89509582519531, 550.2637939453125)","(-62.08830642700195, 170.6370849609375, 51.46501159667969)","(-85.12248992919922, 175.98052978515625, 53.40985870361328)",POINT (0.2916628867387772 0.1469778269529343),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687426997340,1065409341,1,1,"(0.31838861107826233, 0.15459688007831573)","(0.25798049569129944, 0.14336587488651276)",1,1,3.062362670898437,3.0176239013671875,"(-37.27288818359375, 34.89492416381836, 552.8848266601562)","(24.283397674560547, 37.90822982788086, 550.2509155273438)","(-64.3709716796875, 171.9172821044922, 51.93098068237305)","(-85.2435073852539, 173.9684600830078, 52.67757034301758)",POINT (0.2881845533847809 0.1489813774824142),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427014007,1065426007,1,1,"(0.32338574528694153, 0.15642639994621277)","(0.25456905364990234, 0.1392160803079605)",1,1,3.0622100830078125,3.00634765625,"(-37.344520568847656, 34.893585205078125, 552.8681640625)","(24.22954559326172, 37.89590835571289, 550.01025390625)","(-62.644344329833984, 171.58314514160156, 51.80934524536133)","(-86.42224884033203, 174.72637939453125, 52.953407287597656)",POINT (0.2889773994684219 0.1478212401270866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427030675,1065442675,1,1,"(0.3243471682071686, 0.1656365543603897)","(0.252607524394989, 0.14407476782798767)",1,1,3.0699615478515625,3.004669189453125,"(-37.423274993896484, 34.90731430053711, 552.9783325195312)","(24.176292419433594, 37.90456771850586, 549.9550170898438)","(-62.31214904785156, 169.90103149414062, 51.197113037109375)","(-87.10001373291016, 173.8389892578125, 52.63041305541992)",POINT (0.2884773463010788 0.1548556610941887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427047342,1065459341,1,1,"(0.3187865614891052, 0.18786431849002838)","(0.2540545165538788, 0.14020375907421112)",1,1,3.1187744140625,3.017120361328125,"(-37.45880889892578, 34.87767028808594, 552.7523193359375)","(24.11775016784668, 37.91556930541992, 550.11865234375)","(-64.23348236083984, 165.84140014648438, 49.719547271728516)","(-86.60002899169922, 174.5459747314453, 52.887752532958984)",POINT (0.286420539021492 0.1640340387821198),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427064009,1065476008,1,1,"(0.3162825107574463, 0.135194331407547)","(0.2526812255382538, 0.14520768821239471)",1,1,3.0175018310546875,3.02313232421875,"(-37.55009078979492, 34.88423538208008, 552.8529663085938)","(24.0474910736084, 37.917537689208984, 549.9725952148438)","(-65.09869384765625, 175.46090698242188, 53.22072219848633)","(-87.07453918457031, 173.632080078125, 52.55511474609375)",POINT (0.28448186814785 0.1402010098099709),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
