,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,57,34,510341264557,3598046719,1,1,"(0.46144357323646545, 0.34915781021118164)","(0.4759804904460907, 0.396676242351532)",1,1,2.639022827148437,2.653793334960937,"(-33.079864501953125, 10.746477127075195, 523.1203002929688)","(25.828235626220703, 14.250656127929688, 520.4252319335938)","(-14.941873550415039, 136.38330078125, 38.9976692199707)","(-9.919002532958984, 127.70467376708984, 35.83890151977539)",POINT (0.4687120318412781 0.3729170262813568),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341281223,3598063385,1,1,"(0.4653482735157013, 0.3507055640220642)","(0.48002520203590393, 0.395814448595047)",1,1,2.6439208984375,2.6600341796875,"(-33.18394470214844, 10.752496719360352, 523.185791015625)","(25.71646499633789, 14.29800033569336, 520.5242919921875)","(-13.592702865600586, 136.10060119628906, 38.89478302001953)","(-8.521465301513672, 127.8620834350586, 35.89619064331055)",POINT (0.4726867377758026 0.3732600063085556),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341297891,3598080052,1,1,"(0.46352580189704895, 0.35034653544425964)","(0.47686660289764404, 0.39109164476394653)",1,1,2.63153076171875,2.6395263671875,"(-33.29389953613281, 10.767511367797852, 523.3577270507812)","(25.61484146118164, 14.355573654174805, 520.5016479492188)","(-14.222413063049316, 136.1661834716797, 38.91864776611328)","(-9.612831115722656, 128.72462463378906, 36.210140228271484)",POINT (0.4701962023973465 0.3707190901041031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341314558,3598096719,1,1,"(0.4599907100200653, 0.3679346442222595)","(0.4792000353336334, 0.3910088539123535)",1,1,2.6737823486328125,2.6371612548828125,"(-33.36689376831055, 10.761564254760742, 523.3423461914062)","(25.531091690063477, 14.389293670654297, 520.5834350585938)","(-15.443864822387695, 132.95394897460938, 37.74949645996094)","(-8.806570053100586, 128.73976135253906, 36.21563720703125)",POINT (0.4695953726768494 0.3794717490673065),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341331225,3598113385,1,1,"(0.4616740643978119, 0.33816850185394287)","(0.4777235984802246, 0.39452964067459106)",1,1,2.6087646484375,2.6316070556640625,"(-33.429443359375, 10.76196002960205, 523.5195922851562)","(25.46799087524414, 14.410614013671875, 520.5648803710938)","(-14.862223625183105, 138.39035034179688, 39.7281494140625)","(-9.316720962524414, 128.09671020507812, 35.98162078857422)",POINT (0.4696988314390182 0.366349071264267),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341347892,3598130052,1,1,"(0.46414920687675476, 0.3515150845050812)","(0.4738480746746063, 0.39264243841171265)",1,1,2.621856689453125,2.611663818359375,"(-33.463809967041016, 10.755844116210938, 523.5313110351562)","(25.430150985717773, 14.404806137084961, 520.455078125)","(-14.007012367248535, 135.95277404785156, 38.84095001220703)","(-10.655815124511719, 128.44140625, 36.10704803466797)",POINT (0.4689986407756805 0.3720787614583969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341364560,3598146719,1,1,"(0.4604053497314453, 0.35788801312446594)","(0.4808981120586395, 0.38211312890052795)",1,1,2.63629150390625,2.6343231201171875,"(-33.45879364013672, 10.749236106872559, 523.4862060546875)","(25.43332290649414, 14.391741752624512, 520.4398193359375)","(-15.300617218017578, 134.78883361816406, 38.41734313964844)","(-8.219837188720703, 130.3644561767578, 36.806968688964844)",POINT (0.4706517308950424 0.370000571012497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341381225,3598163384,1,1,"(0.4629835784435272, 0.3528043329715729)","(0.4728592038154602, 0.38830500841140747)",1,1,2.6428375244140625,2.61090087890625,"(-33.43209457397461, 10.748761177062988, 523.5501708984375)","(25.471899032592773, 14.378990173339844, 520.4739990234375)","(-14.409758567810059, 135.71728515625, 38.755271911621094)","(-10.997486114501953, 129.23358154296875, 36.3953971862793)",POINT (0.4679213911294937 0.3705546706914902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341397892,3598180050,1,1,"(0.46595486998558044, 0.3447023630142212)","(0.47627004981040955, 0.41082093119621277)",1,1,2.6183319091796875,2.647216796875,"(-33.38288116455078, 10.75197982788086, 523.5169067382812)","(25.528194427490234, 14.362951278686523, 520.5457763671875)","(-13.383113861083984, 137.197021484375, 39.29383850097656)","(-9.81895923614502, 125.121337890625, 34.898658752441406)",POINT (0.471112459897995 0.377761647105217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341414560,3598196718,1,1,"(0.46333450078964233, 0.35023820400238037)","(0.4776790142059326, 0.38780587911605835)",1,1,2.6053924560546875,2.6412811279296875,"(-33.316314697265625, 10.757255554199219, 523.493408203125)","(25.59068489074707, 14.359580993652344, 520.4204711914062)","(-14.288508415222168, 136.1859588623047, 38.925846099853516)","(-9.332125663757324, 129.32473754882812, 36.42858123779297)",POINT (0.4705067574977875 0.3690220415592194),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
